ID,Rt,Name,Train,Origin,Dest,Class,RtCl-1,RtCl-2,BL,Date,Rep Month,Rep FYR,PNR,Version,Riders,Weight,Miles,DepP,ArrP,S1,1010,1020,1025,1030,1040,1042,1044,1046,1050,1060,1070,1080,1090,1100,1110,2010,2020,2030,2040,2050,2060,2065,2070,2080,2090,2100,2110,2120,2124,2126,2130,2132,2133,2135,2140,2150,2160,2170,2180,2141,2142,2152,2162,2172,2182,2185,2190,2200,2210,2220,2410,2420,2430,2440,2450,2460,3010,3020,3030,3040,4010,4020,4030,4040,4050,4060
609381,7,Empire West/Maple Leaf,284,SYR,NYP,C,07C,07A,SC,12/27/2017,201712,2018,,SDWF,1,151,290,10,-9,2,100,100,NULL,NULL,NULL,8,90,90,90,90,100,100,90,90,100,100,NULL,100,0,70,70,1,30,0,70,NULL,30,90,90,90,70,NULL,NULL,1,80,60,80,70,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,0,30,30,30,30,80,NULL,70,80,80,80
609382,7,Empire West/Maple Leaf,64,UCA,NYP,C,07C,07A,SC,12/27/2017,201712,2018,,SDWF,1,151,237,98,49,4,30,50,NULL,NULL,NULL,8,100,100,100,100,100,100,100,100,100,70,NULL,80,70,80,80,1,60,30,100,100,60,0,100,70,20,NULL,NULL,1,20,0,50,50,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,70,NULL,NULL,70,50,NULL,0,50,50,50
609383,7,Empire West/Maple Leaf,284,UCA,NYP,C,07C,07A,SC,12/27/2017,201712,2018,,SDWF,1,151,237,18,-9,4,90,NULL,NULL,NULL,NULL,8,90,90,90,100,100,70,90,90,70,0,NULL,0,0,90,90,1,90,70,90,NULL,90,70,90,100,70,NULL,NULL,1,80,100,80,80,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,40,40,30,80,20,60,80,80,80,0,NULL,40,40,70,55
610057,7,Empire West/Maple Leaf,280,NFL,NYP,B,07B,07A,SC,12/28/2017,201712,2018,,SDWF,1,151,460,1,32,2,0,70,NULL,NULL,NULL,8,100,100,100,100,100,100,100,100,100,100,NULL,100,100,100,100,1,70,70,50,100,100,100,100,100,90,NULL,NULL,1,0,40,40,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,40,80,80,80,70,NULL,70,70,80,75
610058,7,Empire West/Maple Leaf,281,AMS,SYR,C,07C,07A,SC,12/28/2017,201712,2018,,SDWF,1,151,109,25,30,2,90,NULL,NULL,NULL,NULL,9,90,80,40,50,80,70,60,70,70,80,NULL,80,90,90,90,2,NULL,NULL,70,90,100,90,80,100,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,80,80,70,80,70,90,NULL,NULL,90,80,NULL,90,90,90,90
610059,7,Empire West/Maple Leaf,284,BUF,ALB,C,07C,07A,SC,12/28/2017,201712,2018,,SDWF,1,151,290,197,38,2,0,10,NULL,NULL,NULL,9,NULL,NULL,0,100,NULL,100,10,10,0,50,NULL,50,50,0,20,1,0,0,NULL,0,0,0,NULL,NULL,100,NULL,NULL,1,10,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,0,NULL,10,10,10,10,NULL,0,0,0,0
610060,7,Empire West/Maple Leaf,284,BUF,HUD,C,07C,07A,SC,12/28/2017,201712,2018,,SDWF,1,151,317,197,7,1,30,90,NULL,NULL,NULL,8,90,90,70,70,100,100,90,100,60,100,NULL,80,60,80,80,1,70,60,100,10,100,0,100,90,100,NULL,NULL,1,100,100,80,80,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,100,NULL,NULL,90,30,NULL,20,0,20,10
610061,7,Empire West/Maple Leaf,284,BUF,NYP,C,07C,07A,SC,12/28/2017,201712,2018,,SDWF,1,151,431,197,-6,2,80,90,NULL,NULL,NULL,8,90,90,80,90,100,80,90,80,70,100,NULL,90,70,100,100,2,NULL,NULL,100,80,70,50,90,90,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,90,90,80,90,80,NULL,70,60,80,70
610062,7,Empire West/Maple Leaf,284,BUF,NYP,C,07C,07A,SC,12/28/2017,201712,2018,,SDWF,1,151,431,197,-6,1,50,50,NULL,NULL,NULL,8,50,100,100,100,100,100,100,100,100,100,NULL,50,90,100,100,2,NULL,NULL,100,100,100,40,100,100,100,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,0,100,100,100,100,50,NULL,50,50,100,75
610063,7,Empire West/Maple Leaf,284,BUF,POU,C,07C,07A,SC,12/28/2017,201712,2018,,SDWF,1,151,358,197,9,4,50,80,NULL,NULL,NULL,8,90,90,30,30,90,50,90,90,70,80,NULL,80,80,70,80,1,60,60,70,50,70,0,80,70,70,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,70,80,60,60,70,90,NULL,NULL,100,70,NULL,60,0,0,0
